Artist,Song Title,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,label
Donny Hathaway,Flying Easy,0.726,9,0.544,1,0.683,0.016385,0.949229,0.014914,0.007029,0.005114,0.019508,0.944592,0.024841,0.004112,0.005147,0
Donny Hathaway,I Love You More Than You'll Ever Know,0.219,9,0.304,0,0.199,0.09085,0.713795,0.107607,0.043475,0.056162,0.376801,0.443461,0.059543,0.074556,0.131641,0
Donny Hathaway,Lord Help Me,0.523,9,0.419,1,0.427,0.059698,0.716003,0.022702,0.005684,0.008867,0.042609,0.877926,0.053003,0.003921,0.00626,0
Donny Hathaway,Love love love,0.636,9,0.497,1,0.69,0.136344,0.74854,0.128923,0.004604,0.016793,0.104366,0.797056,0.083949,0.041534,0.011629,0
Donny Hathaway,Magdalena,0.778,9,0.438,1,0.833,0.459352,0.20021,0.136999,0.186594,0.286329,0.213641,0.442267,0.370013,0.014906,0.028064,0
Donny Hathaway,Someday We'll All Be Free,0.413,9,0.379,1,0.249,0.07295,0.620038,0.34371,0.012163,0.013722,0.130561,0.361711,0.101137,0.10056,0.167884,0
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,0.441,10,0.575,1,0.294,0.48438,0.093505,0.058717,0.227338,0.456476,0.245438,0.713148,0.053631,0.001375,0.002665,0
Elliott Smith,A Passing Feeling,0.52,10,0.368,0,0.16,0.495476,0.035331,0.185409,0.040119,0.529884,0.498328,0.090286,0.216902,0.203091,0.144442,0
Elliott Smith,Coast To Coast,0.677,10,0.183,1,0.174,0.337405,0.01923,0.188802,0.063707,0.673356,0.249134,0.027359,0.236032,0.012541,0.357318,0
Elliott Smith,Don't Go Down,0.583,10,0.173,1,0.229,0.259339,0.473194,0.178368,0.026683,0.208453,0.0777,0.610824,0.058362,0.143131,0.09066,0
Elliott Smith,King's Crossing,0.343,10,0.395,0,0.0589,0.071386,0.589084,0.194245,0.04962,0.215675,0.41569,0.00978,0.083829,0.281077,0.574887,0
Elliott Smith,Let's Get Lost,0.337,10,0.541,0,0.575,0.160949,0.251993,0.202323,0.118614,0.163833,0.669995,0.22384,0.161022,0.024563,0.067073,0
Elliott Smith,Little One,0.135,10,0.466,1,0.271,0.704372,0.117242,0.185224,0.012136,0.081225,0.120227,0.189661,0.48715,0.004764,0.090209,0
Elliott Smith,Memory Lane,0.356,10,0.613,0,0.484,0.050728,0.097055,0.48619,0.186834,0.488999,0.521064,0.024529,0.445633,0.08862,0.264371,0
Elliott Smith,Pretty (Ugly Before),0.509,10,0.487,1,0.19,0.34824,0.513715,0.098056,0.097003,0.044646,0.190166,0.709704,0.077491,0.021506,0.036871,0
Elliott Smith,Shooting Star,0.798,10,0.517,1,0.505,0.300936,0.541403,0.018086,0.094115,0.132272,0.862848,0.005649,0.174967,0.152429,0.060961,0
Elliott Smith,Strung Out Again,0.362,10,0.453,0,0.212,0.105701,0.647248,0.028228,0.254386,0.061695,0.302989,0.030427,0.210491,0.141373,0.589377,0
Elliott Smith,The Last Hour,0.171,10,0.594,1,0.279,0.611254,0.064362,0.374812,0.087512,0.159259,0.196061,0.118505,0.290674,0.069934,0.516092,0
Elliott Smith,Twilight,0.377,10,0.428,1,0.487,0.52915,0.436049,0.070999,0.008802,0.011067,0.190855,0.773747,0.046809,0.003043,0.008008,0
Ephraim Lewis,Drowning in Your Eyes,0.419,3,0.689,0,0.529,0.278002,0.629806,0.111237,0.006726,0.021566,0.406487,0.209174,0.260412,0.222051,0.140722,0
Ephraim Lewis,Mortal Seed,0.423,3,0.318,1,0.298,0.36433,0.506253,0.017574,0.025213,0.144676,0.354925,0.216322,0.268734,0.1936,0.167445,0
Ephraim Lewis,Sad Song,0.457,3,0.6,1,0.558,0.850209,0.03423,0.246544,0.024878,0.02224,0.913824,0.059421,0.034119,0.016625,0.008014,0
Germs,American Leather,0.949,11,0.289,1,0.69,0.536321,0.04231,0.433583,0.080736,0.245523,0.208586,0.157994,0.042131,0.450428,0.100388,0
Germs,Caught In My Eye,0.799,11,0.364,0,0.422,0.35714,0.099436,0.478995,0.096606,0.29118,0.524226,0.133482,0.382334,0.127875,0.064777,0
Germs,Communist Eyes,0.895,11,0.361,1,0.855,0.205513,0.263982,0.077051,0.505217,0.109643,0.682948,0.026904,0.194555,0.12009,0.184849,0
Germs,Dragon Lady,0.776,11,0.399,1,0.732,0.654902,0.093872,0.168422,0.082116,0.270678,0.130343,0.682701,0.034588,0.164348,0.037305,0
Germs,Land of Treason,0.99,11,0.45,0,0.461,0.707552,0.061097,0.211179,0.147131,0.129035,0.526529,0.103647,0.198832,0.185443,0.31981,0
Germs,Let's Pretend,0.986,11,0.43,0,0.337,0.594633,0.28764,0.055243,0.032539,0.148502,0.168698,0.084692,0.034215,0.322718,0.63351,0
